name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,rating,CSV  version
Maypo,A,h,100.3,4,1,0,0,16,3,95,25,54.850917,2019
Wheaties,G,C,100,3,1,200,3,17,3,110,25,51.592193,2019
Basic 4,g,c,130,3,2,210,2,18,8,100,25,37.038562,2019
Wheaties,G,c,100,3,1,200,3,17,3,110,25,51.592193,2019
All-Bran with Extra Fiber,k,c,50,4,0,140,14,8,0,330,25,93.704912,2019
Nut&Honey Crunch,K,c,120,2,1,190,0,15,9,40,25,29.924285,2019
Shredded Wheat 'n'Bran,N,c,90,3,0,0,4,19,0,140,,74.472949,2019
Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,53.371007,2019
Fruity Pebbles,P,C,110,1,1,135,0,13,12,25,25,28.025765,2019
Puffed Wheat,Q,C,50,2,0,0,1,10,0,50,,63.005645,2019
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,150,3,16,11,170,25,34.139765,2019
Rice Chex,R,C,10000,1,0,240,0,23,2,30,25,41.998933,2019
na,na,na,na,na,na,na,na,na,na,na,na,na,na
